,side_effects
602,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Xopenex', 'Concentrate', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'wheezing', 'choking', 'breathing', 'problems', 'using', 'Xopenex', 'Concentrate', 'pounding', 'heartbeats', 'fluttering', 'chest', 'worsening', 'asthma', 'symptoms', 'low', 'potassium', '--', 'leg', 'cramps', 'constipation', 'irregular', 'heartbeats', 'fluttering', 'chest', 'extreme', 'thirst', 'increased', 'urination', 'numbness', 'tingling', 'muscle', 'weakness', 'limp', 'feeling', 'Common', 'side', 'effects', 'Xopenex', 'Concentrate', 'may', 'include', 'dizziness', 'nervousness', 'tremors', 'runny', 'nose', 'sore', 'throat', 'chest', 'pain', 'tightness', 'irregular', 'heartbeats', 'pain', 'vomiting']"
603,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Difil-G', 'Forte', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'pounding', 'heartbeats', 'fluttering', 'chest', 'rapid', 'breathing', 'feeling', 'short', 'breath', 'seizure', 'convulsions', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'Common', 'side', 'effects', 'Difil-G', 'Forte', 'may', 'include', 'nausea', 'vomiting', 'stomach', 'pain', 'diarrhea', 'headache', 'feeling', 'restless', 'irritable', 'sleep', 'problems', 'insomnia', 'flushing', 'warmth', 'redness', 'tingly', 'feeling']"
604,"['mood', 'behavior', 'changes', 'depression', 'anxiety', 'feel', 'agitated', 'hostile', 'restless', 'hyperactive', 'mentally', 'physically', 'thoughts', 'suicide', 'hurting', 'Call', 'doctor', 'fast', 'slow', 'pounding', 'heartbeats', 'fluttering', 'chest', 'chest', 'pain', 'shortness', 'breath', 'fever', 'swollen', 'glands', 'weakness', 'severe', 'muscle', 'pain', 'skin', 'rash', 'especially', 'blistering', 'peeling', 'painful', 'sores', 'mouth', 'around', 'eyes', 'headache', 'neck', 'stiffness', 'increased', 'sensitivity', 'light', 'nausea', 'vomiting', 'confusion', 'drowsiness', 'jaundice', 'yellowing', 'skin', 'eyes', 'pale', 'skin', 'cold', 'hands', 'feet', 'easy', 'bruising', 'unusual', 'bleeding', 'Common', 'Lamictal', 'side', 'effects', 'may', 'include', 'headache', 'dizziness', 'blurred', 'vision', 'double', 'vision', 'tremor', 'loss', 'coordination', 'dry', 'mouth', 'nausea', 'vomiting', 'stomach', 'pain', 'diarrhea', 'fever', 'sore', 'throat', 'runny', 'nose', 'drowsiness', 'tired', 'feeling', 'back', 'pain', 'sleep', 'problems', 'insomnia']"
605,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Report', 'new', 'worsening', 'symptoms', 'doctor', 'mood', 'behavior', 'changes', 'anxiety', 'panic', 'attacks', 'trouble', 'sleeping', 'feel', 'impulsive', 'irritable', 'agitated', 'hostile', 'aggressive', 'restless', 'hyperactive', 'mentally', 'physically', 'depressed', 'thoughts', 'suicide', 'hurting', 'High', 'doses', 'long-term', 'use', 'Latuda', 'cause', 'serious', 'movement', 'disorder', 'may', 'reversible', 'Symptoms', 'disorder', 'include', 'uncontrollable', 'muscle', 'movements', 'lips', 'tongue', 'eyes', 'face', 'arms', 'legs', 'The', 'longer', 'use', 'lurasidone', 'likely', 'develop', 'disorder', 'especially', 'woman', 'older', 'adult', 'Call', 'doctor', 'new', 'unusual', 'muscle', 'movements', 'control', 'light-headed', 'feeling', 'like', 'might', 'pass', 'seizure', 'convulsions', 'women', 'irregular', 'menstrual', 'periods', 'breast', 'vaginal', 'changes', 'nipple', 'discharge', 'men', 'breast', 'swelling', 'impotence', 'trouble', 'swallowing', 'manic', 'episodes', 'racing', 'thoughts', 'increased', 'energy', 'decreased', 'need', 'sleep', 'risk-taking', 'behavior', 'agitated', 'talkative', 'low', 'white', 'blood', 'cell', 'counts', 'fever', 'chills', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'high', 'blood', 'sugar', 'increased', 'thirst', 'increased', 'urination', 'hunger', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'Latuda', 'side', 'effects', 'may', 'include', 'drowsiness', 'weight', 'gain', 'tremors', 'muscle', 'stiffness', 'slow', 'muscle', 'movement', 'feeling', 'restless', 'unable', 'sit', 'still', 'nausea', 'vomiting', 'runny', 'nose', 'sleep', 'problems', 'insomnia']"
606,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Report', 'new', 'worsening', 'symptoms', 'doctor', 'mood', 'behavior', 'changes', 'anxiety', 'panic', 'attacks', 'trouble', 'sleeping', 'feel', 'impulsive', 'irritable', 'agitated', 'hostile', 'aggressive', 'restless', 'hyperactive', 'mentally', 'physically', 'depressed', 'thoughts', 'suicide', 'hurting', 'Call', 'doctor', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'mask-like', 'appearance', 'face', 'trouble', 'swallowing', 'problems', 'speech', 'light-headed', 'feeling', 'like', 'might', 'pass', 'blurred', 'vision', 'tunnel', 'vision', 'eye', 'pain', 'seeing', 'halos', 'around', 'lights', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'fainting', 'high', 'blood', 'sugar', 'increased', 'thirst', 'increased', 'urination', 'hunger', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'drowsiness', 'dry', 'skin', 'blurred', 'vision', 'weight', 'loss', 'low', 'blood', 'cell', 'counts', 'sudden', 'weakness', 'ill', 'feeling', 'fever', 'chills', 'cold', 'flu', 'symptoms', 'cough', 'sore', 'throat', 'red', 'swollen', 'gums', 'painful', 'mouth', 'sores', 'skin', 'sores', 'trouble', 'breathing', 'Common', 'Seroquel', 'side', 'effects', 'may', 'include', 'speech', 'problems', 'dizziness', 'drowsiness', 'tiredness', 'lack', 'energy', 'fast', 'heartbeats', 'stuffy', 'nose', 'increased', 'appetite', 'weight', 'gain', 'upset', 'stomach', 'vomiting', 'constipation', 'dry', 'mouth', 'problems', 'moving']"
607,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Tell', 'doctor', 'right', 'away', 'new', 'sudden', 'changes', 'mood', 'behavior', 'including', 'new', 'worse', 'depression', 'anxiety', 'panic', 'attacks', 'trouble', 'sleeping', 'feel', 'impulsive', 'irritable', 'agitated', 'hostile', 'aggressive', 'restless', 'active', 'talkative', 'thoughts', 'suicide', 'hurting', 'Call', 'doctor', 'severe', 'agitation', 'distress', 'restless', 'feeling', 'twitching', 'uncontrollable', 'movements', 'eyes', 'lips', 'tongue', 'face', 'arms', 'legs', 'mask-like', 'appearance', 'face', 'trouble', 'swallowing', 'problems', 'speech', 'seizure', 'convulsions', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'low', 'blood', 'cell', 'counts', 'fever', 'chills', 'sore', 'throat', 'weakness', 'easy', 'bruising', 'unusual', 'bleeding', 'purple', 'red', 'spots', 'skin', 'high', 'blood', 'sugar', 'increased', 'thirst', 'increased', 'urination', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'You', 'may', 'increased', 'sexual', 'urges', 'unusual', 'urges', 'gamble', 'intense', 'urges', 'taking', 'medicine', 'Talk', 'doctor', 'occurs', 'Common', 'Abilify', 'side', 'effects', 'may', 'include', 'blurred', 'vision', 'increased', 'saliva', 'drooling', 'muscle', 'stiffness', 'uncontrolled', 'muscle', 'movements', 'shaking', 'anxiety', 'feeling', 'restless', 'weight', 'gain', 'nausea', 'vomiting', 'constipation', 'increased', 'decreased', 'appetite', 'headache', 'dizziness', 'drowsiness', 'feeling', 'tired', 'sleep', 'problems', 'insomnia', 'cold', 'symptoms', 'stuffy', 'nose', 'sneezing', 'sore', 'throat']"
608,"['mood', 'behavior', 'changes', 'anxiety', 'panic', 'attacks', 'trouble', 'sleeping', 'feel', 'impulsive', 'irritable', 'agitated', 'hostile', 'aggressive', 'restless', 'hyperactive', 'mentally', 'physically', 'depressed', 'thoughts', 'suicide', 'hurting', 'Topiramate', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'skin', 'rash', 'matter', 'mild', 'vision', 'problems', 'blurred', 'vision', 'eye', 'pain', 'redness', 'sudden', 'vision', 'loss', 'permanent', 'treated', 'quickly', 'confusion', 'problems', 'thinking', 'memory', 'trouble', 'concentrating', 'problems', 'speech', 'dehydration', 'symptoms', '--', 'decreased', 'sweating', 'high', 'fever', 'hot', 'dry', 'skin', 'signs', 'kidney', 'stone', '--', 'severe', 'pain', 'side', 'lower', 'back', 'painful', 'difficult', 'urination', 'signs', 'much', 'acid', 'blood', '--', 'irregular', 'heartbeats', 'feeling', 'tired', 'loss', 'appetite', 'trouble', 'thinking', 'feeling', 'short', 'breath', 'signs', 'much', 'ammonia', 'blood', '--', 'vomiting', 'unexplained', 'weakness', 'feeling', 'like', 'might', 'pass', 'Common', 'side', 'effects', 'topiramate', 'may', 'include', 'dizziness', 'drowsiness', 'tiredness', 'slow', 'reactions', 'problems', 'speech', 'memory', 'abnormal', 'vision', 'numbness', 'tingling', 'arms', 'legs', 'decreased', 'sensation', 'especially', 'skin', 'changes', 'sense', 'taste', 'feeling', 'nervous', 'nausea', 'diarrhea', 'stomach', 'pain', 'loss', 'appetite', 'fever', 'weight', 'loss', 'cold', 'symptoms', 'stuffy', 'nose', 'sneezing', 'sore', 'throat']"
609,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Call', 'doctor', 'sudden', 'numbness', 'weakness', 'especially', 'one', 'side', 'body', 'problems', 'vision', 'speech', 'light-headed', 'feeling', 'like', 'might', 'pass', 'severe', 'distress', 'agitation', 'seizure', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'trouble', 'swallowing', 'accidentally', 'inhaling', 'food', 'drink', 'low', 'white', 'blood', 'cell', 'counts', 'fever', 'chills', 'sore', 'throat', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'feeling', 'light-headed', 'high', 'blood', 'sugar', 'increased', 'thirst', 'increased', 'urination', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Vraylar', 'long', 'lasting', 'effects', 'body', 'Some', 'side', 'effects', 'could', 'occur', 'several', 'weeks', 'stop', 'using', 'medicine', 'You', 'may', 'also', 'new', 'side', 'effects', 'whenever', 'dose', 'changed', 'Common', 'Vraylar', 'side', 'effects', 'may', 'include', 'involuntary', 'muscle', 'movements', 'upset', 'stomach', 'vomiting', 'drowsiness', 'feeling', 'restless']"
610,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Too', 'much', 'lithium', 'body', 'cause', 'death', 'Lithium', 'toxicity', 'occur', 'take', 'slightly', 'recommended', 'dose', 'Stop', 'using', 'medicine', 'call', 'doctor', 'right', 'away', 'symptoms', 'lithium', 'toxicity', 'muscle', 'weakness', 'twitching', 'drowsiness', 'feeling', 'light-headed', 'mood', 'changes', 'blurred', 'vision', 'ringing', 'ears', 'irregular', 'heartbeats', 'confusion', 'slurred', 'speech', 'clumsiness', 'trouble', 'breathing', 'seizures', 'Call', 'doctor', 'light-headed', 'feeling', 'like', 'might', 'pass', 'shortness', 'breath', 'fever', 'increased', 'thirst', 'urination', 'weakness', 'dizziness', 'spinning', 'sensation', 'memory', 'problems', 'hallucinations', 'problems', 'balance', 'muscle', 'movement', 'loss', 'bowel', 'bladder', 'control', 'seizure', 'blackout', 'convulsions', 'low', 'sodium', 'level', 'headache', 'confusion', 'slurred', 'speech', 'severe', 'weakness', 'vomiting', 'loss', 'coordination', 'feeling', 'unsteady', 'thyroid', 'problems', 'weight', 'gain', 'loss', 'muscle', 'pain', 'tremors', 'feeling', 'hot', 'cold', 'changes', 'skin', 'hair', 'sweating', 'feeling', 'weak', 'tired', 'fast', 'pounding', 'heartbeats', 'increased', 'bowel', 'movements', 'feeling', 'anxious', 'agitated', 'dehydration', 'symptoms', 'feeling', 'thirsty', 'hot', 'unable', 'urinate', 'heavy', 'sweating', 'hot', 'dry', 'skin', 'increased', 'pressure', 'inside', 'skull', '-severe', 'headaches', 'ringing', 'ears', 'dizziness', 'nausea', 'vision', 'problems', 'pain', 'behind', 'eyes', 'Seek', 'medical', 'attention', 'right', 'away', 'symptoms', 'serotonin', 'syndrome', 'agitation', 'hallucinations', 'fever', 'sweating', 'shivering', 'fast', 'heart', 'rate', 'muscle', 'stiffness', 'twitching', 'loss', 'coordination', 'nausea', 'vomiting', 'diarrhea', 'Common', 'lithium', 'side', 'effects', 'may', 'include', 'dizziness', 'drowsiness', 'tremors', 'hands', 'trouble', 'walking', 'dry', 'mouth', 'increased', 'thirst', 'urination', 'nausea', 'vomiting', 'loss', 'appetite', 'rash', 'blurred', 'vision']"
611,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Report', 'new', 'worsening', 'symptoms', 'doctor', 'mood', 'behavior', 'changes', 'anxiety', 'panic', 'attacks', 'trouble', 'sleeping', 'feel', 'impulsive', 'irritable', 'agitated', 'hostile', 'aggressive', 'restless', 'hyperactive', 'mentally', 'physically', 'depressed', 'thoughts', 'suicide', 'hurting', 'High', 'doses', 'long-term', 'use', 'lurasidone', 'cause', 'serious', 'movement', 'disorder', 'may', 'reversible', 'The', 'longer', 'use', 'lurasidone', 'likely', 'develop', 'disorder', 'especially', 'woman', 'older', 'adult', 'Lurasidone', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'new', 'unusual', 'muscle', 'movements', 'control', 'light-headed', 'feeling', 'like', 'might', 'pass', 'seizure', 'convulsions', 'women', 'irregular', 'menstrual', 'periods', 'breast', 'vaginal', 'changes', 'nipple', 'discharge', 'men', 'breast', 'swelling', 'impotence', 'trouble', 'swallowing', 'manic', 'episodes', '--', 'racing', 'thoughts', 'increased', 'energy', 'decreased', 'need', 'sleep', 'risk-taking', 'behavior', 'agitated', 'talkative', 'low', 'white', 'blood', 'cell', 'counts', '--', 'fever', 'chills', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'high', 'blood', 'sugar', '--', 'increased', 'thirst', 'increased', 'urination', 'hunger', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'severe', 'nervous', 'system', 'reaction', '--', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'side', 'effects', 'lurasidone', 'may', 'include', 'drowsiness', 'weight', 'gain', 'tremors', 'muscle', 'stiffness', 'slow', 'muscle', 'movement', 'feeling', 'restless', 'unable', 'sit', 'still', 'nausea', 'vomiting', 'runny', 'nose', 'sleep', 'problems', 'insomnia']"
612,"['Abilify', 'Maintena', 'may', 'cause', 'serious', 'side', 'effects', 'including', 'See', '``', 'Important', 'information', ""''"", 'Stroke', 'cerebrovascular', 'problems', 'elderly', 'people', 'dementia-related', 'psychosis', 'lead', 'death', 'Neuroleptic', 'malignant', 'syndrome', 'NMS', 'serious', 'condition', 'lead', 'death', 'Call', 'healthcare', 'provider', 'go', 'nearest', 'emergency', 'room', 'right', 'away', 'following', 'symptoms', 'NMS', 'high', 'fever', 'confusion', 'changes', 'pulse', 'heart', 'rate', 'blood', 'pressure', 'stiff', 'muscles', 'sweating', 'Uncontrolled', 'body', 'movements', 'tardive', 'dyskinesia', 'This', 'medication', 'may', 'cause', 'movements', 'control', 'face', 'tongue', 'body', 'parts', 'Tardive', 'dyskinesia', 'may', 'go', 'away', 'even', 'stop', 'receiving', 'Abilify', 'Maintena', 'Tardive', 'dyskinesia', 'may', 'also', 'start', 'stop', 'receiving', 'medication', 'Problems', 'metabolism', 'high', 'blood', 'sugar', 'hyperglycemia', 'Increases', 'blood', 'sugar', 'happen', 'people', 'receive', 'medication', 'Extremely', 'high', 'blood', 'sugar', 'lead', 'coma', 'death', 'If', 'diabetes', 'risk', 'factors', 'diabetes', 'overweight', 'family', 'history', 'diabetes', 'healthcare', 'provider', 'check', 'blood', 'sugar', 'start', 'receiving', 'medication', 'treatment', 'Call', 'healthcare', 'provider', 'symptoms', 'high', 'blood', 'sugar', 'receiving', 'Abilify', 'Maintena', 'feel', 'thirsty', 'need', 'urinate', 'usual', 'feel', 'hungry', 'feel', 'weak', 'tired', 'feel', 'sick', 'stomach', 'feel', 'confused', 'breath', 'smells', 'fruity', 'Increased', 'fat', 'levels', 'cholesterol', 'triglycerides', 'blood', 'Weight', 'gain', 'You', 'healthcare', 'provider', 'check', 'weight', 'regularly', 'Unusual', 'urges', 'Some', 'people', 'receiving', 'medication', 'unusual', 'urges', 'gambling', 'binge', 'eating', 'eating', 'control', 'compulsive', 'compulsive', 'shopping', 'sexual', 'urges', 'If', 'family', 'members', 'notice', 'unusual', 'urges', 'behaviors', 'talk', 'healthcare', 'provider', 'Decreased', 'blood', 'pressure', 'orthostatic', 'hypotension', 'You', 'may', 'feel', 'lightheaded', 'faint', 'rise', 'quickly', 'sitting', 'lying', 'position', 'Low', 'white', 'blood', 'cell', 'count', 'Seizures', 'convulsions', 'Problems', 'controlling', 'body', 'temperature', 'feel', 'warm', 'See', '``', 'What', 'I', 'avoid', 'receiving', 'Abilify', 'Maintena', ""''"", 'Difficulty', 'swallowing', 'The', 'common', 'side', 'effects', 'Abilify', 'Maintena', 'include', 'weight', 'gain', 'inner', 'sense', 'restlessness', 'feeling', 'like', 'need', 'move', 'akathisia', 'injection', 'site', 'pain', 'sleepiness', 'sedation', 'These', 'possible', 'side', 'effects', 'Call', 'doctor', 'medical', 'advice', 'side', 'effects', 'You', 'may', 'report', 'side', 'effects', 'FDA', '1-800-FDA-1088', 'Abilify', 'Maintena', 'side', 'effects']"
613,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Cariprazine', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'sudden', 'numbness', 'weakness', 'especially', 'one', 'side', 'body', 'problems', 'vision', 'speech', 'light-headed', 'feeling', 'like', 'might', 'pass', 'severe', 'distress', 'agitation', 'seizure', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'trouble', 'swallowing', 'accidentally', 'inhaling', 'food', 'drink', 'low', 'white', 'blood', 'cell', 'counts', '--', 'fever', 'chills', 'sore', 'throat', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'feeling', 'light-headed', 'high', 'blood', 'sugar', '--', 'increased', 'thirst', 'increased', 'urination', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'severe', 'nervous', 'system', 'reaction', '--', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Cariprazine', 'long', 'lasting', 'effects', 'body', 'Some', 'side', 'effects', 'could', 'occur', 'several', 'weeks', 'stop', 'using', 'medicine', 'You', 'may', 'also', 'new', 'side', 'effects', 'whenever', 'dose', 'changed', 'Common', 'side', 'effects', 'cariprazine', 'may', 'include', 'involuntary', 'muscle', 'movements', 'upset', 'stomach', 'vomiting', 'drowsiness', 'feeling', 'restless']"
614,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'People', 'depression', 'mental', 'illness', 'may', 'thoughts', 'suicide', 'Some', 'young', 'people', 'may', 'increased', 'suicidal', 'thoughts', 'first', 'starting', 'medicine', 'treat', 'depression', 'Stay', 'alert', 'changes', 'mood', 'symptoms', 'Your', 'family', 'caregivers', 'also', 'watch', 'sudden', 'changes', 'behavior', 'High', 'doses', 'long-term', 'use', 'lumateperone', 'cause', 'serious', 'movement', 'disorder', 'may', 'reversible', 'The', 'longer', 'use', 'Caplyta', 'likely', 'develop', 'disorder', 'especially', 'woman', 'older', 'adult', 'Call', 'doctor', 'feeling', 'unsteady', 'feeling', 'like', 'might', 'pass', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'tightness', 'neck', 'throat', 'trouble', 'swallowing', 'trouble', 'breathing', 'speaking', 'seizure', 'high', 'blood', 'sugar', 'increased', 'thirst', 'increased', 'urination', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'low', 'white', 'blood', 'cell', 'counts', 'fever', 'chills', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'severe', 'nervous', 'system', 'reaction', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'Caplyta', 'side', 'effects', 'may', 'include', 'weight', 'gain', 'nausea', 'dizziness', 'drowsiness', 'dry', 'mouth']"
615,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'People', 'depression', 'mental', 'illness', 'may', 'thoughts', 'suicide', 'Some', 'young', 'people', 'may', 'increased', 'suicidal', 'thoughts', 'first', 'starting', 'medicine', 'treat', 'depression', 'Stay', 'alert', 'changes', 'mood', 'symptoms', 'Your', 'family', 'caregivers', 'also', 'watch', 'sudden', 'changes', 'behavior', 'High', 'doses', 'long-term', 'use', 'lumateperone', 'cause', 'serious', 'movement', 'disorder', 'may', 'reversible', 'The', 'longer', 'use', 'lumateperone', 'likely', 'develop', 'disorder', 'especially', 'woman', 'older', 'adult', 'Lumateperone', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'feeling', 'unsteady', 'feeling', 'like', 'might', 'pass', 'uncontrolled', 'muscle', 'movements', 'face', 'chewing', 'lip', 'smacking', 'frowning', 'tongue', 'movement', 'blinking', 'eye', 'movement', 'tightness', 'neck', 'throat', 'trouble', 'swallowing', 'trouble', 'breathing', 'speaking', 'seizure', 'high', 'blood', 'sugar', '--', 'increased', 'thirst', 'increased', 'urination', 'dry', 'mouth', 'fruity', 'breath', 'odor', 'low', 'white', 'blood', 'cell', 'counts', '--', 'fever', 'chills', 'mouth', 'sores', 'skin', 'sores', 'sore', 'throat', 'cough', 'trouble', 'breathing', 'severe', 'nervous', 'system', 'reaction', '--', 'stiff', 'rigid', 'muscles', 'high', 'fever', 'sweating', 'confusion', 'fast', 'uneven', 'heartbeats', 'tremors', 'feeling', 'like', 'might', 'pass', 'Common', 'side', 'effects', 'lumateperone', 'may', 'include', 'weight', 'gain', 'nausea', 'dizziness', 'drowsiness', 'dry', 'mouth']"
